,name,price,description1,description2
27,Marine Life Minigurumi Crochet Pattern Bundle,$6.99,"In this crochet pattern bundle we’ll be crocheting a variety of miniature marine amigurumi that I call minigurumi! This no sew amigurumi pattern bundle features 8 different mini patterns all of which can be made in less than 15 minutes with less than 100 stitches per pattern!
Every pattern in this bundle includes a full length video tutorials to go along side an interactive PDF with checkmarks and time codes to keep track of progress.
Pattern Bundle Includes:
• Octopus Minigurumi
• Squid Minigurumi
• Jellyfish Minigurumi
• Seahorse Minigurumi
• Whale Minigurumi (makes dolphins, orca, and narwhals!)
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Color A
– White
• Pipe Cleaners x 1 (optional)
• 6mm Safety Eyes x 10
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1”
Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
28,The Bawnimals – Crocheted Amigurumi Patterns eBook,$9.99,"**This listing is for a PDF pattern with instructions on making the character, not the character itself. Pattern can be downloaded immediately after purchase**
This amigurumi crochet eBook teaches you how to make and customize Bawnimals, aka small spherical animals that you just can’t help but bawww at! These patterns are all no to low sew patterns, meaning that they are made very quickly with little to no sewing necessary.
Includes the digital eBook including 12+ different features to make a bunch of different creatures, each with their own full-length video tutorials so you never miss a stitch!
*Includes video tutorials for the more difficult parts of the pattern! Additional lefty video available.*","Description
*Includes video tutorials for the more difficult parts of the pattern! Additional lefty video available.*
Materials needed:
– Worsted Weight yarn
– Size US-G/4.00mm
– Needle to sew in ends
– Scissors
– A small amount of stuffing
– Plastic safety bead eyes (8mm+)
Stitches used:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only"
29,Unicorn Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Pattern can be downloaded immediately after purchase
Have your own crocheted Unicorn sitting safe and sound on your dresser or hanging on your back pack! These little mystical horses miniature amigurumi measure about 2 inches tall when finished and includes a full unique video tutorial to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
– Color A (Main color)
– Color B (Hooves/Nose)
– Fuzzy Color (Mane/Tail)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round
The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase – InvDec : Invisible Decrease
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook
For color changes in Bobble Stitches: [Blue/Red/Green] = [Step 3/Step 1/Step 2]"
30,Marine Life Minigurumi Crochet Pattern Bundle,$6.99,"In this crochet pattern bundle we’ll be crocheting a variety of miniature marine amigurumi that I call minigurumi! This no sew amigurumi pattern bundle features 8 different mini patterns all of which can be made in less than 15 minutes with less than 100 stitches per pattern!
Every pattern in this bundle includes a full length video tutorials to go along side an interactive PDF with checkmarks and time codes to keep track of progress.
Pattern Bundle Includes:
• Octopus Minigurumi
• Squid Minigurumi
• Jellyfish Minigurumi
• Seahorse Minigurumi
• Whale Minigurumi (makes dolphins, orca, and narwhals!)
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Color A
– White
• Pipe Cleaners x 1 (optional)
• 6mm Safety Eyes x 10
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1”
Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
31,Christmas Tree Amigurumi Crochet Pattern,$3.99,"Pattern can be downloaded and accessed immediately after purchase
In this amigurumi crochet pattern we’ll be making a Christmas tree with nearly no sewing at all! This pattern is made using a fun technique with half-double crochets and bobble stitches, and includes a secret compartment for hiding a gift.
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Green
– Brown
– Red
– Yellow
• Black Thread
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
32,Donut Crochet Pattern Collection,$3.99,"Pattern can be downloaded and accessed immediately after purchase
Bonjour! In this donut amigurumi pattern we’ll be making an éclair! This french cream-filled pastry makes the cutest amigurumi ever! And with no sewing together needed, you’ll wish you could actually eat this adorable amigurumi!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials Needed:
• The Yarn (Worsted Weight)
– Beige (cake color)
– Brown (frosting color)
– White (optional*)
• Black Thread
• Size G6/4.00mm Hook
• 8mm/6mm Safety Eyes x 2
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 5” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
33,Seasonal Kit — Holiday Hooks,$80,"In this seasonal kit inspired by holidays, you'll find a variety of projects around Halloween, Thanksgiving, and Christmas! With bonus keychains, paper cones, pipe cleaners, stuffing, eyes, and thread, plus our exclusive Club Crochet Amigurumi Cotton yarn, this crochet kit has everything you need to never miss a stitch on these holiday hookups.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Yellow, Orange, White, Forest Green, Red, and Brown
1 Mini Balls of Yarn – 25 ft
Black
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
2 Keychains
3 Pipe Cleaners
2 Stuffing Packets
1 Paper Adhesive Cone
1 Mini Golden Bell
The Projects:
This kit includes 6 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Candy Corn Amigurumi
Pumpkin Amigurumi
Ghost Amigurumi
Turkey Leg Amigurumi
???? - Mystery pattern releases November 2023!
???? - Mystery pattern releases December 2023!
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!",
34,Mini Whale Amigurumi Pattern Bundle,$8.99,"*Patterns can be downloaded and accessed immediately after purchase*
In this crochet pattern bundle we’ll be crocheting a variety of miniature whale amigurumi! This pattern bundle is designed for complete beginners to advanced crocheters and will help you not only learn to crochet, but advance your skill with new and exciting techniques!
Every pattern in this bundle includes a full length video tutorial alongside an interactive PDF with checkmarks and time codes to keep track of your progress.
Pattern Bundle Includes:
• Beginner Whale Amigurumi – Learn how to crochet!
• Dolphin Amigurumi
• Narwhal Amigurumi
• Orca Amigurumi
• Beluga Amigurumi
• Mini Whales
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Color A
– White
• Pipe Cleaners x 1
• 6mm Safety Eyes x 10
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1”
Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
35,Present Box Crochet Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this lesson we’ll be learning how to crochet boxes that can actually be opened and closed, perfect to use for presents! This tutorial includes instructions for how to make 4 different sizes of present and how to add holes for easy ribbon additions.
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– White
– Red
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Pipe Cleaner (optional)
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
36,Avengers Pattern Bundle,$9.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
**This listing is for a PDF patterns with instructions on making the characters, not the characters themselves**
Pattern can be downloaded immediately after purchase
Have your own crocheted Avengers sitting safe and sound on your dresser or hanging on your back pack! These little crocheted Avengers miniature amigurumi finger puppets measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for each pattern!*
*Includes a printable version of each pattern as well*
Bundle includes instructions and videos for:
– Iron Man
– The Hulk
– Captain America
– Dr. Strange
– Thanos
*Includes full length video tutorial for each pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished pieces are about 2 – 4.5” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– dc : Double Crochet
– Tr : Treble / Triple Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only"
37,Crochet Mini Pterodactyl Pattern Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this amigurumi crochet pattern we’ll be crocheting a Pterodactyl! This mini dinosaur pattern includes very unique stitches and techniques for the wings and feet, and is designed to be as easy as possible with a full length video tutorial in addition to a printable PDF as well as an interactive professionally designed PDF version!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight Cotton)
– Color A (Blue)
• 1 Pipe Cleaner
• Size G6/4.00mm Hook
• Size 6mm Safety Eyes x 2
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
38,Ogre Amigurumi Pattern,$2.99,"**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Why is orcs always angry? Cos they not as strong as Borg. This crocheted Ogre amigurumi measures about 4″ inches tall when finished and includes a full length unique video tutorial to help you get through the tough parts!
Pattern can be downloaded immediately after purchase

*Includes full length video tutorial for the more difficult parts of the pattern!*","Description
Materials:
• The Yarn (Worsted Weight)
– Blue (Main Body)
– White (Teeth)
– Brown (Loin Cloth / Pants)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 4″ tall
Worked in the Round"
39,Boo from Super Mario Bros. Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
Learn how to crochet the shy but spooky Boo, the ghost from Super Mario Bros! This little crocheted Boo Ghost amigurumi measures about 2 inches tall when finished, perfect for a keychain or to throw at plumbers. It also includes a full length unique video tutorial to help you get through the tough parts!
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– White
– Maroon
– Pink
– Black
•Size G6/4.00mm Hook
•Stuffing
•Needle
•6mm Safety Eyes
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
40,Super Mario Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Why did Mario cross the road? Because he couldn’t find the warp zone! This little crocheted Mario amigurumi measures about 2.5″ inches tall when finished and includes a full length unique video tutorial to help you get through the tough parts!
*Includes instructions for making Luigi too!*
Pattern can be downloaded immediately after purchase
Purchase on Etsy || Purchase on Ravelry","Description
The Materials:
•The Yarn (Worsted Weight)
– Red / Green (Main clothing color)
– Blue (Overalls)
– Tan (Skin tone)
– Brown (Hair and shoes)
– White (Hat and gloves)
– Black (Mustache)
– Yellow (Buttons)
•Size G6/4.00mm Hook
•Plastic Saftey Bead Eyes (6mm+)
•Stuffing
•Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2.5” tall
Worked in the Round
Unless otherwise stated
The Abbreviations:
ch
Chain Stitch
st
Stitch
sl.st
Slip Stitch
sc
Single Crochet
hdc
Half-Double Crochet
inc
Increase
dec
Decrease (Sharp)
invdec
Invisible Decrease
BLO
Back Loops Only
FLO
Front Loops Only
bo
Bobble Stitch"
41,Crow Birb Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this amigurumi tutorial, we’ll be crocheting a crow birb. This crochet pattern video tutorial is perfect for fans of murder(s), companionship, and shiny objects. This intermediate level pattern uses mostly single-crochet stitches, along with Club Crochet staples such as magnets, cotton stuffing, and 6mm eyes. #birbsarentreal
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Grey
– White
– Black
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Mini Magnet
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
42,Zombie Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Pattern can be downloaded immediately after purchase
Still trying to figure out a vampire pun that doesn’t suck…
Braaaiiins. This little Undead Zombie Monster miniature amigurumi measures about 2 inches tall and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry
Get the full Halloween Finger Puppet Pattern Bundle","Description
Materials:
• The Yarn (Worsted Weight)
– Green (Skin Tone)
– Brown (Shirt/Hair)
– Navy (Pants)
– Pink (Brains)
– White (Teeth and Bones) – Red (Guts)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
43,Hunky Cactus Amigurumi Pattern,$3.99,"Pattern can be downloaded and accessed immediately after purchase
In this amigurumi crochet pattern we’ll be crocheting a hunky cactus! This cactus amigurumi pattern and video tutorial is designed to teach you how to make larger cactuses, a technique for adding striped spikes, and an alternative flower to add on top!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– Yellow (Flower)
– Green (Spikes)
– Forest Green (Body)
– White (Spikes)
– Beige (Pot)
• 8mm Safety Eyes x 2
• Black Thread (Mouth)
• Size G6/4.00mm Hook
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
44,Sunflower Stand Amigurumi Pattern,$2.99,"Pattern can be downloaded and accessed immediately after purchase
In this crochet pattern we’ll be crocheting a life-sized sunflower! This pattern is requires nearly no sewing at all and is shockingly quick to create, and using a wire in the body to make it pose-able and able to wrap around surfaces!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight Cotton)
– Yellow
– Brown
– Sage Green
• Size G6/4.00mm Hook
• Size 8mm Safety Eyes x 2
• Stuffing
• Needle
• Black Thread
• 9″ of Strong Wire
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” long
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
45,Bulbasaur Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
Pattern can be downloaded immediately after purchase
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Have your own crocheted Bulbasaur sitting safe and sound on your dresser or hanging on your back pack! This miniature crocheted Bulbasaur Pokemon miniature amigurumi measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
– Olive Green (Main color)
– Lime Green (Bulb)
– Dark Green (Spots)
• Size G6/4.00mm Hook
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round
The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only
– FLO: Front Loops Only"
46,Goblinoid Pattern Bundle,$14.99,"Patterns can be downloaded immediately after purchase
.
Make your own Goblin army perfect for DnD games, desk buddies, keychains, or a new goblin friend for your cat! This bundle includes 8 PDF patterns and over a dozen full length video tutorials including instructions for how to make each unique characters and customize them with clothes, weapons, and features!
.
Bundle includes:
• Goblin Pattern
• Troll Pattern
• Orc Pattern
• Ogre Pattern
• Hobgoblin Pattern
• Customize Your Goblinoid: Learn to make and add hair, scars, warts and rings
• Weapons and Items: Swords, Shields, Bows and various other weapons and items to add to your characters
• Clothes: Dress your characters with hats, jackets, helmets and hoods!
.
*Includes video tutorials for each section of the pattern!*
.
*Includes a fully interactive pdf with clickable links and check marks to keep track of progress*","Description
Materials:
• The Yarn
– Green (Goblins and Hobgoblin)
– Blue (Trolls)
– Teal (Orcs)
– Robins Egg Green (Ogres)
– Brown (Clothes and Weapons)
– White (Teeth)
– Yellow (Rings and Details)
• Plastic Safety Bead Eyes x 10
• 3 Pipe Cleaners
• 3 Nickles
• Stuffing
• Darning Needle (used for Ogre’s kickstand)
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2 – 4″ tall
Worked in the Round"
47,Princess Leia Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Pattern can be downloaded immediately after purchase
Where does Leia get her designer shoes? At the Darth Mall!
Have your own crocheted Princess Leia sitting safe and sound on your dresser or hanging on your back pack! This little Princess from Star Wars miniature amigurumi measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
– Sand (Skin Tone)
– Dark Brown (Hair)
– Black (Eyeliner / Shoes)
– White (Shirt and Shoes)
• Size G6/4.00mm Hook
• Plastic Saftey Bead Eyes
• Stuffing
• NeedleGauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tallWorked in the Round The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– FLO : Front Loops Only
– BLO : Back Loops Only
– Bo : Bobble Stitch
1. Yarn over, insert hook into stitch
2. Yarn over and pull through
3. Yarn over and pull through 2 loops
4. Repeat steps 1 – 3 four times total
5. Yarn over and pull through all the loops on the hook"
48,Squirtle Amigurumi Pattern,$2.99,"This pattern is available with a Club Crochet Membership, learn more and upgrade your account here
|| I’m already a Club Crochet Member
Pattern can be downloaded immediately after purchase
**This listing is for a PDF pattern with instructions on making the character, not the character itself**
Have your own crocheted Squirtle sitting safe and sound on your dresser or hanging on your back pack! This little crocheted Squirtle Pokemon amigurumi measures about 2 inches tall when finished and includes 5 unique video tutorials to help you get through the tough parts!
*Includes full length video tutorial for the more difficult parts of the pattern!*
*Includes a printable version of the pattern as well*
Purchase on Etsy || Purchase on Ravelry","Description
Materials:
• The Yarn (Worsted Weight)
– Light Blue (Main Color)
– Sand (Shell Bottom)
– White (Shell Border)
– Brown (Shell Back)
• Size G6/4.00mm Hook
• Stuffing
• Needle
Gauge: 5 Rnds and 4 sts per 1” | Finished piece is about 2” tall
Worked in the Round
The Stitches:
– Ch : Chain stitch
– St : Stitch
– Sl.st : Slip Stitch
– Sc : Single Crochet
– Hdc : Half-Double Crochet
– Dec/Inc : Decrease/Increase
– InvDec : Invisible Decrease
– BLO : Back Loops Only
– FLO: Front Loops Only"
49,Crocheted Dwarf Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this lesson we’ll be crocheting miniature Dwarves! Perfect for protecting your local mines or defending against rogue dragons! This pattern includes a full length video tutorial (with a left hand version) as well as a printer-friendly interactive PDF with checkmarks to keep track of progress, so you never miss a stitch!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight Cotton)
– Skin Tone (Body Color)
– Grey (Armor Color)
– Brown (Clothing)
– Black (Shoes)
– Nose Color (Nose)
– Orange (Hair Color)
– Gold (Hair ties)
• Size G6/4.00mm Hook
• Size 6mm Safety Eyes x 2
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
50,Treasure Chest Amigurumi Pattern,$2.99,"Pattern can be downloaded immediately after purchase
  Have your own crocheted treasure chest sitting on your desk or turn it into a vicious mimic! This treasure chest measures about 2″ tall and 3″ wide when finished and includes a full unique video tutorial to help you get through the tough parts!
  *Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– White
– Brown
– Yellow
– White
– Pink
•Size G6/4.00mm Hook
•Stuffing
•Needle
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 2” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
51,Seasonal Kit — Photosynthesis,$80,"In this seasonal kit inspired by plant life, you'll find a variety of projects that feature different aspects of plants, from flowers and succulents, to trees and cactus, and even hour home itself! We hope these patterns bring a touch of nature to your crochet projects and inspire you to create your own unique designs.
What's Included:
This kit includes all the materials you'll need to make all 6 projects in the themed season PLUS 3 month's of Club Crochet Pattern Membership with access to over 300 additional patterns in the library!
The Materials:
6 Balls of 100% Cotton Yarn – 200 ft
Brown, Forest Green, Country Green, Yellow, Beige, and Blue
2 Mini Balls of Yarn – 25 ft
Black and White
6mm Safety Eyes x 10
8mm Safety Eyes x 10
Black Thread - 10 ft
9” of strong wire
3 Pipe Cleaners
10 Green Pompoms
2 Stuffing Packets
The Projects:
This kit includes 6 Unique Projects designed for the materials included. However, it also includes dozens of additional alternative patterns that can also be made with your membership!
Cactus Amigurumi Plants
Planet Earth Keychain
Bonsai Tree Planter
Sunflower Stand
Succulent Amigurumi Planter
Flower Coasters and Pad
35+ Alternative patterns!
Beginner Friendly!
The projects in this kit are designed with beginners in mind with a scaling level of difficulty! You can start with our first, completely beginner friendly pattern, and work your way up in difficulty!
Full length video tutorials for each pattern!
Printer friendly PDFs
Interactive eBook
Bonus 10 chapter beginner series included
Weekly live crochet alongs with the designer!",
52,Barn Owl Birb Crochet Pattern,$2.99,"Pattern can be downloaded immediately after purchase
In this lesson we’ll be crocheting a barn owl birb! I call these guys ‘Birbs’ because they’re secret agents disguised as different kind of birds! We’ll be learning how to make all the pieces of the owl, including how to make it magnetic!
*Includes video tutorials for the more difficult parts of the pattern!*","Description
The Materials:
•The Yarn (Worsted Weight)
– Beige
– Yellow
– White
•Size G6/4.00mm Hook
•Stuffing
•Needle
•Pipe Cleaner (optional)
Suggested yarns:
Lily Sugar n’ Cream
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
53,Turkey Leg and Bone Crochet Pattern,$3.99,"Pattern can be downloaded and accessed immediately after purchase
In this amigurumi pattern combo we’ll be crocheting a classic bone and learning how to convert it into a turkey leg. This amigurumi pattern bundle uses some clever stitches and is made with no sewing at all!
*Includes full length video tutorial so you never miss a stitch!*","Description
The Materials:
• The Yarn (Worsted Weight)
– White
– Brown
• Black Thread
• Size G6/4.00mm Hook
• 8mm Safety Eyes x 2
• Stuffing
• Needle
The Gauge:
5 Rnds and 4 sts per 1” Finished piece is about 3” tall
Worked in the Round
The Abbreviations:
ch = Chain Stitch
st = Stitch
sl.st = Slip Stitch
sc = Single Crochet
inc = Increase
dec = Decrease (Sharp)
invdec = Invisible Decrease
 "
